resourcexid,notes,datestarted,dateended,relationshiptype,resourceinstanceidfrom,resourceinstanceidto,modified,created,inverserelationshiptype,tileid,nodeid,resourceinstancefrom_graphid,resourceinstanceto_graphid
c9823af4-2537-11eb-9d07-0610f586dfc5,"",,,badf8662-7507-43e4-b3ac-049fa38c5470,1469470f-eca8-477d-b617-431607ba5b23,87c9460b-96b8-42fa-8da8-3e5b251fd769,2020-11-12 23:34:22.297553+00,2020-11-12 22:38:30.251786+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823af5-2537-11eb-9d07-0610f586dfc5,"",,,626f624f-8256-4c6e-9e49-e85c4aaa5bd8,1469470f-eca8-477d-b617-431607ba5b23,c296fac9-12fb-4cbe-b95f-27b1c51eccf9,2020-11-12 23:34:22.306001+00,2020-11-12 22:38:30.258774+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823af6-2537-11eb-9d07-0610f586dfc5,"",,,5a4c42b4-b884-4d7c-8d52-cffcebf75df8,1469470f-eca8-477d-b617-431607ba5b23,eb8e796c-927c-4b91-ba77-a5c6cc210c35,2020-11-12 23:34:22.314469+00,2020-11-12 22:38:30.265713+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,5f1b17b2-e506-11e7-b2cc-02e0c6d7ad7a
c9823af7-2537-11eb-9d07-0610f586dfc5,"",,,0bf5d189-9697-423d-b0f0-73bb9089b9ec,1469470f-eca8-477d-b617-431607ba5b23,598e72a2-6a27-4da5-a7ee-1642b0fc2b26,2020-11-12 23:34:22.32341+00,2020-11-12 22:38:30.273228+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,699410ac-e503-11e7-b2cc-02e0c6d7ad7a
c9823af9-2537-11eb-9d07-0610f586dfc5,"",,,3775f52e-a78d-4bc0-b582-3de9fe8310e7,1469470f-eca8-477d-b617-431607ba5b23,19d9f447-ba34-40dd-9333-6586f87dead1,2020-11-12 23:34:22.339863+00,2020-11-12 22:38:30.286614+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823afa-2537-11eb-9d07-0610f586dfc5,"",,,badf8662-7507-43e4-b3ac-049fa38c5470,1469470f-eca8-477d-b617-431607ba5b23,87c9460b-96b8-42fa-8da8-3e5b251fd769,2020-11-12 23:34:22.348172+00,2020-11-12 22:38:30.293346+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823afb-2537-11eb-9d07-0610f586dfc5,"",,,626f624f-8256-4c6e-9e49-e85c4aaa5bd8,1469470f-eca8-477d-b617-431607ba5b23,c296fac9-12fb-4cbe-b95f-27b1c51eccf9,2020-11-12 23:34:22.356602+00,2020-11-12 22:38:30.299916+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823afd-2537-11eb-9d07-0610f586dfc5,"",,,0bf5d189-9697-423d-b0f0-73bb9089b9ec,1469470f-eca8-477d-b617-431607ba5b23,598e72a2-6a27-4da5-a7ee-1642b0fc2b26,2020-11-12 23:34:22.373624+00,2020-11-12 22:38:30.314305+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,699410ac-e503-11e7-b2cc-02e0c6d7ad7a
c9823afe-2537-11eb-9d07-0610f586dfc5,"",,,5a4c42b4-b884-4d7c-8d52-cffcebf75df8,1469470f-eca8-477d-b617-431607ba5b23,eb8e796c-927c-4b91-ba77-a5c6cc210c35,2020-11-12 23:34:22.382428+00,2020-11-12 22:38:30.321219+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,5f1b17b2-e506-11e7-b2cc-02e0c6d7ad7a
c9823aff-2537-11eb-9d07-0610f586dfc5,"",,,3775f52e-a78d-4bc0-b582-3de9fe8310e7,1657a7a0-4918-4ff2-aec6-a731be1e7717,c7df1aef-a2b3-4bc0-8ea7-fc4fb7e5a032,2020-11-12 23:34:22.390772+00,2020-11-12 22:38:30.327905+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823b01-2537-11eb-9d07-0610f586dfc5,"",,,626f624f-8256-4c6e-9e49-e85c4aaa5bd8,1657a7a0-4918-4ff2-aec6-a731be1e7717,03d71608-0fdc-4a64-8a45-1205ee2f11a2,2020-11-12 23:34:22.407677+00,2020-11-12 22:38:30.342314+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823b03-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,1657a7a0-4918-4ff2-aec6-a731be1e7717,11913608-5f9d-4a0e-a564-ce609e16ccf4,2020-11-12 23:34:22.425413+00,2020-11-12 22:38:30.355689+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
